rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2025-11-28,tight,92.0,2025-11-28 11:20:00-05:00,2025-11-28 11:21:00-05:00,25415.75,2025-11-28 11:26:00-05:00,25386.25,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2025-12-03,tight,86.5,2025-12-03 10:06:00-05:00,2025-12-03 10:07:00-05:00,25531.0,2025-12-03 10:12:00-05:00,25501.5,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2025-12-09,tight,93.25,2025-12-09 10:03:00-05:00,2025-12-09 10:04:00-05:00,25650.25,2025-12-09 10:08:00-05:00,25620.75,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2025-12-24,tight,45.75,2025-12-24 10:22:00-05:00,2025-12-24 10:23:00-05:00,25816.5,2025-12-24 11:12:00-05:00,25847.0,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2025-12-30,tight,57.5,2025-12-30 10:06:00-05:00,2025-12-30 10:07:00-05:00,25730.75,2025-12-30 10:12:00-05:00,25701.25,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-01-06,tight,70.25,2026-01-06 11:01:00-05:00,2026-01-06 11:02:00-05:00,25675.25,2026-01-06 11:06:00-05:00,25645.75,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-01-19,tight,58.0,2026-01-19 10:22:00-05:00,2026-01-19 10:23:00-05:00,25292.75,2026-01-19 10:27:00-05:00,25323.25,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-02-18,tight,116.75,2026-02-18 09:46:00-05:00,2026-02-18 09:47:00-05:00,24854.0,2026-02-18 09:48:00-05:00,24824.5,target,57.66,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-02-25,tight,123.0,2026-02-25 10:55:00-05:00,2026-02-25 10:56:00-05:00,25269.5,2026-02-25 11:00:00-05:00,25300.0,stop,-62.34,full_history
inverse_orb|short|buffer_points=0|confirm_pattern=simple|end=12:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=tight|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,inverse_orb,short,2026-03-06,tight,120.5,2026-03-06 10:08:00-05:00,2026-03-06 10:09:00-05:00,24717.75,2026-03-06 10:09:00-05:00,24688.25,target,57.66,full_history
