rule_id,family,direction,date,or_class,or_size,signal_ts,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,scope
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-25,tight,100.0,2026-03-25 10:07:00-04:00,2026-03-25 10:08:00-04:00,24391.25,2026-03-25 10:08:00-04:00,24421.75,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-27,normal,132.75,2026-03-27 10:13:00-04:00,2026-03-27 10:14:00-04:00,23501.75,2026-03-27 10:15:00-04:00,23532.25,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-03-30,wide,163.75,2026-03-30 09:53:00-04:00,2026-03-30 09:54:00-04:00,23356.25,2026-03-30 09:55:00-04:00,23326.75,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-04-07,normal,115.5,2026-04-07 09:47:00-04:00,2026-04-07 09:48:00-04:00,24159.75,2026-04-07 09:54:00-04:00,24190.25,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-04-08,wide,162.25,2026-04-08 09:57:00-04:00,2026-04-08 09:58:00-04:00,25082.25,2026-04-08 10:08:00-04:00,25052.75,target,57.66,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-04-09,tight,93.75,2026-04-09 10:09:00-04:00,2026-04-09 10:10:00-04:00,25015.0,2026-04-09 10:12:00-04:00,25045.5,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-04-10,tight,82.0,2026-04-10 10:07:00-04:00,2026-04-10 10:08:00-04:00,25284.0,2026-04-10 10:13:00-04:00,25314.5,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-04-13,tight,64.75,2026-04-13 09:47:00-04:00,2026-04-13 09:48:00-04:00,25165.75,2026-04-13 09:48:00-04:00,25196.25,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-04-16,normal,108.0,2026-04-16 10:17:00-04:00,2026-04-16 10:18:00-04:00,26328.25,2026-04-16 10:26:00-04:00,26358.75,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|start=09:45|stop_mode=fixed|stop_points=30|target_mode=fixed|target_points=30|time_exit=12:00|touch_tolerance=5,or_retest,short,2026-04-20,normal,93.25,2026-04-20 10:18:00-04:00,2026-04-20 10:19:00-04:00,26721.0,2026-04-20 10:21:00-04:00,26751.5,stop,-62.34,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-11-18,normal,185.25,2025-11-18 09:49:00-05:00,2025-11-18 09:50:00-05:00,24623.75,2025-11-18 09:55:00-05:00,24554.78125,target,136.5975,human_window
or_retest|short|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=80|min_reward_points=8|or_class=all|or_stop_fraction=0.25|rr=1.5|start=09:45|stop_mode=or_fraction|target_mode=rr|time_exit=12:00|touch_tolerance=5,or_retest,short,2025-11-21,normal,127.25,2025-11-21 09:46:00-05:00,2025-11-21 09:47:00-05:00,24112.0,2025-11-21 09:47:00-05:00,24144.3125,stop,-65.965,human_window
