idea_id,entry_time_et,direction,setup_label,human_1c,max_size,entry_price,pdh,pdl,pdc,pdh_dist,pdl_dist,pdc_dist,gap_pts,round_signed,round_abs,ema20_60m,ema50_60m,entry_vs_60m_ema20,pre_entry_pattern,vol_z,vol_3bar_z
56,2025-12-23 15:49:04.569539-05:00,short,discretionary_or_unclassified,1.66,1,25803.75,25795.0,25629.5,25688.5,8.75,174.25,115.25,-44.0,3.75,3.75,25556.927237700653,25393.397671703155,above,green_against,-0.016584574264698396,-0.41540086543064514
57,2025-12-24 10:09:18.634190-05:00,short,discretionary_or_unclassified,4.535,4,25832.4375,25820.25,25627.25,25811.0,12.1875,205.1875,21.4375,-15.25,-17.5625,17.5625,25602.89848709736,25425.45955776981,above,green_against,-0.7322171019675433,-0.6733366519719153
58,2025-12-26 09:45:25.940260-05:00,short,discretionary_or_unclassified,29.16,2,25931.0,25892.25,25781.75,25861.75,38.75,149.25,69.25,37.5,-19.0,19.0,25688.515154369914,25489.973844988635,above,doji,-0.5882576484048013,-0.5401996054522702
59,2025-12-26 10:25:55.595369-05:00,long,discretionary_or_unclassified,16.16,2,25869.5,25892.25,25781.75,25861.75,-22.75,87.75,7.75,37.5,19.5,19.5,25706.82323490611,25505.298400087122,above,red_against,0.45301148780446704,-0.3606166568049027
61,2025-12-29 10:08:40.806606-05:00,short,discretionary_or_unclassified,9.66,1,25690.5,25935.0,25834.25,25866.25,-244.5,-143.75,-175.75,-159.25,-9.5,9.5,25779.753052249656,25591.083345620165,below,rejection_high,-0.7748654755322878,-0.2673303076719963
62,2025-12-29 13:01:18.006874-05:00,short,orb_breakout_or_retest_candidate,0.6599999999999999,1,25688.25,25935.0,25834.25,25866.25,-246.75,-146.0,-178.0,-159.25,-11.75,11.75,25758.892094307354,25603.330755357045,below,doji,-0.4959532447027963,-0.351871950735635
63,2025-12-30 10:13:56.620036-05:00,long,orb_breakout_or_retest_candidate,7.66,2,25693.5,25818.75,25647.75,25741.25,-125.25,45.75,-47.75,-48.75,-6.5,6.5,25753.125298215396,25623.576844400195,below,doji,0.4018058745649865,0.12417642479286915
64,2025-12-30 12:09:14.661275-05:00,long,orb_breakout_or_retest_candidate,-0.8400000000000001,1,25720.25,25818.75,25647.75,25741.25,-98.5,72.5,-21.0,-48.75,20.25,20.25,25749.205742983577,25631.90484559972,below,neutral_up,-1.244176196039113,-1.0192605033687443
66,2025-12-31 09:52:23.333375-05:00,long,discretionary_or_unclassified,1.16,4,25606.5,25794.0,25668.25,25677.75,-187.5,-61.75,-71.25,0.75,6.5,6.5,25736.503782535892,25643.756837574838,below,breakout_up,0.6688221312475892,0.27397812591169035
67,2026-01-02 09:56:03.642855-05:00,short,discretionary_or_unclassified,140.66,2,25736.0,25692.25,25444.5,25455.0,43.75,291.5,281.0,231.25,-14.0,14.0,25646.311136700486,25623.771750005104,above,green_against,-1.2404782526054587,-1.1540642639510081
