idea_id,direction,human_1c,max_size,setup_label,or_high_dist,or_low_dist,or_mid_dist,vwap_dist,ema9_15m_dist,ema9_5m_dist,swing_high_dist,swing_low_dist,sess_high_dist,sess_low_dist
89,short,17.035,1,discretionary_or_unclassified,-9.0625,115.6875,53.3125,41.28346302505088,-23.268802374579536,6.7257538890698925,-20.8125,80.6875,-20.8125,115.6875
90,short,-15.768571428565192,3,discretionary_or_unclassified,200.3928571428587,294.8928571428587,247.6428571428587,197.22598622924852,221.9960855488025,181.90436354937628,201.8928571428587,294.8928571428587,81.3928571428587,294.8928571428587
91,long,8.506153846141533,2,orb_breakout_or_retest_candidate,17.653846153847553,112.15384615384755,64.90384615384755,-96.10845721166334,-119.50199648036141,-113.39951591237332,-237.34615384615245,-206.09615384615245,-255.84615384615245,112.15384615384755
93,short,-6.268571428572468,5,orb_breakout_or_retest_candidate,-48.285714285713766,71.71428571428623,11.714285714286234,74.83422572662676,126.85179317209622,72.94687385155339,25.214285714286234,142.46428571428623,-48.285714285713766,149.21428571428623
94,short,2.16,2,discretionary_or_unclassified,96.66666666666788,186.91666666666788,141.79166666666788,109.35411570739961,91.60881335795784,83.12130210022588,29.91666666666788,73.66666666666788,29.91666666666788,186.91666666666788
95,short,-0.1399999999956345,2,discretionary_or_unclassified,53.650000000001455,176.65000000000146,115.15000000000146,88.19806074842927,130.20208255797843,99.7750273342499,45.900000000001455,80.15000000000146,30.900000000001455,176.65000000000146
96,short,21.41,4,discretionary_or_unclassified,44.125,139.375,91.75,69.55053068514462,129.2093269853831,70.55693119082935,72.875,139.375,-9.375,139.375
100,short,35.16,1,discretionary_or_unclassified,-42.5,42.5,0.0,-4.161250014913094,103.52034766137876,37.87662851205823,-35.0,26.0,-49.25,42.5
101,long,-5.09,1,discretionary_or_unclassified,-167.25,-82.25,-124.75,-75.30697000648433,-18.723727429704013,-6.650277058739448,-32.75,14.0,-174.0,30.5
102,long,7.874285714282596,4,inverse_orb_candidate,-538.0714285714275,-306.82142857142753,-422.44642857142753,-254.971435661937,-306.0491356544444,-186.67613739052103,-368.82142857142753,-79.07142857142753,-538.0714285714275,-79.07142857142753
103,short,55.16,1,pre_or_locked_trade,-58.25,68.0,4.875,12.24888072774047,,-38.97534732025815,,,-36.0,68.0
104,short,41.16,1,orb_breakout_or_retest_candidate,-133.5,-7.25,-70.375,-59.44190475738651,-51.0834922115464,-42.71811992015864,-63.5,-18.75,-133.5,35.5
105,short,31.66,2,inverse_orb_candidate,126.75,320.5,223.625,123.66169289109894,132.03775738295735,84.90441916927739,61.5,146.75,-17.25,320.5
106,long,-0.09000000000000008,4,inverse_orb_candidate,-458.875,-228.125,-343.5,-280.17401721085844,-313.48683247142617,-277.07190198283206,-317.875,-228.125,-458.875,-71.375
107,long,1.66,1,inverse_orb_candidate,-648.75,-418.0,-533.375,-215.3856740001902,-39.207264842349105,9.946547528878,-55.5,37.75,-648.75,85.75
108,short,101.41,1,discretionary_or_unclassified,-171.375,-14.875,-93.125,-101.95329242280422,-139.1076665878718,-144.6349158141602,-171.125,,-171.375,-14.875
109,long,11.66,1,discretionary_or_unclassified,-564.75,-408.25,-486.5,-320.057421531772,-247.16245869876002,-145.5978203738523,-221.0,-162.0,-564.75,2.25
110,short,22.66,1,orb_breakout_or_retest_candidate,-218.5,66.0,-76.25,-10.937769321881206,-45.040005468988966,-27.223754074908356,-56.5,24.0,-243.5,180.75
