idea_id,entry_time_et,exit_time_et,direction,fill_count,net_pnl,setup_label,time_bucket,or_classification,entry_vs_or,first_completed_or_breakout,entry_vs_vwap,entry_vs_15m_ema9,rsi_regime,trend_state,volume_ratio_15m,prior_day_trend_direction,prior_day_zombie_proxy,minutes_to_15m_close_at_entry,mae_points,mfe_points,move_after_15m_points,move_after_30m_points
89,2026-01-20 10:01:20.785264-05:00,2026-01-20 11:17:10.332333-05:00,short,4,70.54,discretionary_or_unclassified,10:00-11:00,normal,inside_or,none,above,below,bear_trend_zone,downtrend_below_ema,3.391668587887625,up,False,13.653578933333334,80.0625,94.1875,72.4375,-12.3125
19,2025-11-24 09:43:58.618162-05:00,2025-11-24 15:50:03.868563-05:00,short,12,64.61999999999998,pre_or_locked_trade,09:30-10:00,wide,above_or,none,above,unknown,unknown,unknown,,up,False,1.0230306333333334,67.75675675675666,321.24324324324334,253.49324324324334,192.99324324324334
105,2026-02-02 10:16:20.427572-05:00,2026-02-02 11:16:05.272097-05:00,short,2,64.52,inverse_orb_candidate,10:00-11:00,wide,above_or,long,above,above,neutral,uptrend_above_ema,1.3241163035864438,down,False,13.659540466666666,51.5,57.5,-14.25,-5.0
129,2026-02-24 10:02:56.184700-05:00,2026-02-24 10:12:40.778365-05:00,long,1,64.26,discretionary_or_unclassified,10:00-11:00,normal,inside_or,none,above,above,neutral,uptrend_above_ema,2.553763865251698,down,False,12.063588333333334,32.25,55.75,4.5,152.0
25,2025-11-26 11:28:28.900353-05:00,2025-11-26 15:30:02.886112-05:00,short,6,60.56,discretionary_or_unclassified,11:00-12:00,tight,above_or,short,above,above,bull_trend_zone,uptrend_above_ema,1.045201273083646,up,False,1.5183274500000001,46.875,47.375,-42.875,-25.125
58,2025-12-26 09:45:25.940260-05:00,2025-12-26 09:49:46.291766-05:00,short,1,59.52,discretionary_or_unclassified,09:30-10:00,tight,near_or_high,none,above,above,bull_trend_zone,uptrend_above_ema,2.992024319682418,up,False,14.567662333333335,4.0,35.75,58.0,94.25
102,2026-01-29 10:30:25.310555-05:00,2026-01-29 11:12:05.437214-05:00,long,5,59.32000000000001,inverse_orb_candidate,10:00-11:00,wide,below_or,short,below,below,bear_trend_zone,downtrend_below_ema,2.3027742361776777,down,False,14.578157416666667,103.17857142857247,114.32142857142753,-5.678571428572468,-45.42857142857247
190,2026-04-09 12:17:24.183587-04:00,2026-04-09 12:33:04.301573-04:00,short,3,59.28,discretionary_or_unclassified,12:00-13:30,tight,above_or,short,above,above,bull_trend_zone,uptrend_above_ema,1.1560738972145765,down,False,12.596940216666667,25.41666666666788,23.33333333333212,14.33333333333212,45.33333333333212
193,2026-04-14 10:00:34.273271-04:00,2026-04-14 16:09:52.738386-04:00,short,10,57.95999999999995,discretionary_or_unclassified,10:00-11:00,normal,above_or,none,above,above,bull_trend_zone,uptrend_above_ema,1.9049549579585388,up,True,14.428778816666666,39.85326086956411,252.3967391304359,184.3967391304359,156.1467391304359
103,2026-01-30 09:38:25.473614-05:00,2026-01-30 09:46:21.165933-05:00,short,1,55.76,pre_or_locked_trade,09:30-10:00,normal,inside_or,none,above,unknown,unknown,unknown,,down,False,6.575439766666666,58.25,42.75,-5.75,2.5
49,2025-12-16 10:09:46.311164-05:00,2025-12-16 10:55:25.548117-05:00,short,1,51.52,discretionary_or_unclassified,10:00-11:00,normal,above_or,long,above,above,neutral,uptrend_above_ema,1.8028313382748626,down,True,5.228147266666666,-204.0,402.25,349.75,342.5
