idea_id,direction,setup_label,human_entry_ts,human_entry_price,human_1c_net_pnl,mech_rule,mech_signal_ts,mech_entry_price,delta_minutes,delta_price_signed,or_high,or_low,or_size,or_class
89,short,discretionary_or_unclassified,2026-01-20 10:01:20.785264-05:00,25348.1875,17.035,inverse_orb,2026-01-20 09:53:00-05:00,25339.75,8.346421066666666,-8.4375,25357.25,25232.5,124.75,normal
90,short,discretionary_or_unclassified,2026-01-21 10:05:49.068050-05:00,25423.39285714286,-15.768571428565192,inverse_orb,2026-01-21 09:49:00-05:00,25235.75,16.817800833333333,-187.6428571428587,25223.0,25128.5,94.5,normal
91,long,orb_breakout_or_retest_candidate,2026-01-21 11:55:03.087982-05:00,25240.653846153848,8.506153846141533,orb_break,2026-01-21 09:48:00-05:00,25215.5,127.05146636666667,25.153846153847553,25223.0,25128.5,94.5,normal
93,short,orb_breakout_or_retest_candidate,2026-01-22 10:56:25.628149-05:00,25683.964285714286,-6.268571428572468,orb_break,2026-01-22 09:47:00-05:00,25603.5,69.42713581666666,-80.46428571428623,25732.25,25612.25,120.0,normal
94,short,discretionary_or_unclassified,2026-01-23 10:20:16.571756-05:00,25749.416666666668,2.16,ema_continuation,2026-01-23 09:57:00-05:00,25645.0,23.276195933333334,-104.41666666666788,25652.75,25562.5,90.25,normal
95,short,discretionary_or_unclassified,2026-01-26 09:58:40.779219-05:00,25880.9,-0.1399999999956345,inverse_orb,2026-01-26 09:48:00-05:00,25817.75,10.67965365,-63.150000000001455,25827.25,25704.25,123.0,normal
96,short,discretionary_or_unclassified,2026-01-27 10:05:07.299025-05:00,26056.625,21.41,no_signal,,,,,26012.5,25917.25,95.25,normal
100,short,discretionary_or_unclassified,2026-01-28 10:00:25.281679-05:00,26256.0,35.16,orb_break,2026-01-28 10:33:00-05:00,26218.25,-32.57863868333333,-37.75,26298.5,26213.5,85.0,tight
101,long,discretionary_or_unclassified,2026-01-28 12:31:02.865287-05:00,26131.25,-5.09,inverse_orb,2026-01-28 10:34:00-05:00,26196.0,117.04775478333333,-64.75,26298.5,26213.5,85.0,tight
102,long,inverse_orb_candidate,2026-01-29 10:30:25.310555-05:00,25639.178571428572,7.874285714282596,inverse_orb,2026-01-29 09:48:00-05:00,26005.75,42.42184258333334,-366.57142857142753,26177.25,25946.0,231.25,wide
103,short,pre_or_locked_trade,2026-01-30 09:38:25.473614-05:00,25881.0,55.16,ema_continuation,2026-01-30 09:50:00-05:00,25904.0,-11.575439766666667,23.0,25939.25,25813.0,126.25,normal
104,short,orb_breakout_or_retest_candidate,2026-01-30 11:17:28.271564-05:00,25805.75,41.16,ema_continuation,2026-01-30 09:50:00-05:00,25904.0,87.47119273333333,98.25,25939.25,25813.0,126.25,normal
105,short,inverse_orb_candidate,2026-02-02 10:16:20.427572-05:00,25860.75,31.66,inverse_orb,2026-02-02 09:48:00-05:00,25737.5,28.340459533333334,-123.25,25734.0,25540.25,193.75,wide
106,long,inverse_orb_candidate,2026-02-03 10:04:07.758503-05:00,25493.625,-0.09000000000000008,no_signal,,,,,25952.5,25721.75,230.75,wide
107,long,inverse_orb_candidate,2026-02-03 14:38:28.431381-05:00,25303.75,1.66,no_signal,,,,,25952.5,25721.75,230.75,wide
108,short,discretionary_or_unclassified,2026-02-04 09:49:26.339423-05:00,25215.125,101.41,orb_break,2026-02-04 09:59:00-05:00,25200.25,-9.561009616666666,-14.875,25386.5,25230.0,156.5,normal
109,long,discretionary_or_unclassified,2026-02-04 12:39:53.408073-05:00,24821.75,11.66,inverse_orb,2026-02-04 10:10:00-05:00,25215.75,149.89013455,-394.0,25386.5,25230.0,156.5,normal
110,short,orb_breakout_or_retest_candidate,2026-02-05 13:49:09.496477-05:00,24717.75,22.66,orb_break,2026-02-05 10:11:00-05:00,24618.25,218.1582746166667,-99.5,24936.25,24651.75,284.5,wide
