rule,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,date,or_class
inverse_orb,long,2026-02-23 09:47:00-05:00,24904.5,2026-02-23 09:51:00-05:00,24964.0,target,117.66,2026-02-23,normal
ema_continuation,short,2026-02-23 13:02:00-05:00,24757.75,2026-02-23 13:14:00-05:00,24788.25,stop,-62.34,2026-02-23,normal
orb_break,long,2026-02-24 09:46:00-05:00,24918.75,2026-02-24 09:55:00-05:00,24888.25,stop,-62.34,2026-02-24,normal
orb_retest,long,2026-02-24 09:52:00-05:00,24936.25,2026-02-24 09:53:00-05:00,24905.75,stop,-62.34,2026-02-24,normal
inverse_orb,short,2026-02-24 09:56:00-05:00,24869.75,2026-02-24 10:09:00-05:00,24900.25,stop,-62.34,2026-02-24,normal
ema_continuation,long,2026-02-24 13:26:00-05:00,25027.0,2026-02-24 14:17:00-05:00,24996.5,stop,-62.34,2026-02-24,normal
orb_break,long,2026-02-25 09:46:00-05:00,25311.5,2026-02-25 10:21:00-05:00,25281.0,stop,-62.34,2026-02-25,tight
orb_retest,long,2026-02-25 10:54:00-05:00,25283.75,2026-02-25 12:46:00-05:00,25343.25,target,117.66,2026-02-25,tight
inverse_orb,short,2026-02-25 10:56:00-05:00,25271.5,2026-02-25 11:00:00-05:00,25302.0,stop,-62.34,2026-02-25,tight
ema_continuation,long,2026-02-25 15:31:00-05:00,25353.0,2026-02-25 15:55:00-05:00,25380.75,rth_close,54.16,2026-02-25,tight
orb_break,short,2026-02-26 09:49:00-05:00,25229.75,2026-02-26 10:01:00-05:00,25170.25,target,117.66,2026-02-26,tight
orb_retest,short,2026-02-26 09:50:00-05:00,25229.75,2026-02-26 10:01:00-05:00,25170.25,target,117.66,2026-02-26,tight
inverse_orb,long,2026-02-26 09:50:00-05:00,25230.75,2026-02-26 09:52:00-05:00,25200.25,stop,-62.34,2026-02-26,tight
ema_continuation,short,2026-02-26 13:36:00-05:00,24997.75,2026-02-26 13:45:00-05:00,25028.25,stop,-62.34,2026-02-26,tight
orb_break,long,2026-02-27 09:49:00-05:00,24926.75,2026-02-27 09:50:00-05:00,24896.25,stop,-62.34,2026-02-27,normal
orb_retest,long,2026-02-27 09:51:00-05:00,24916.0,2026-02-27 09:53:00-05:00,24885.5,stop,-62.34,2026-02-27,normal
inverse_orb,short,2026-02-27 09:51:00-05:00,24915.0,2026-02-27 09:56:00-05:00,24855.5,target,117.66,2026-02-27,normal
ema_continuation,long,2026-02-27 15:38:00-05:00,24925.75,2026-02-27 15:54:00-05:00,24985.25,target,117.66,2026-02-27,normal
ema_continuation,short,2026-02-27 10:13:00-05:00,24974.75,2026-02-27 10:44:00-05:00,25005.25,stop,-62.34,2026-02-27,normal
orb_break,long,2026-03-02 09:50:00-05:00,24869.75,2026-03-02 09:52:00-05:00,24839.25,stop,-62.34,2026-03-02,wide
orb_retest,long,2026-03-02 09:51:00-05:00,24855.5,2026-03-02 09:52:00-05:00,24825.0,stop,-62.34,2026-03-02,wide
inverse_orb,short,2026-03-02 09:51:00-05:00,24854.5,2026-03-02 09:51:00-05:00,24885.0,stop,-62.34,2026-03-02,wide
ema_continuation,long,2026-03-02 10:49:00-05:00,24925.5,2026-03-02 10:54:00-05:00,24895.0,stop,-62.34,2026-03-02,wide
ema_continuation,short,2026-03-02 10:08:00-05:00,24915.25,2026-03-02 10:13:00-05:00,24945.75,stop,-62.34,2026-03-02,wide
orb_break,long,2026-03-03 11:46:00-05:00,24718.5,2026-03-03 11:46:00-05:00,24688.0,stop,-62.34,2026-03-03,normal
orb_break,short,2026-03-03 09:50:00-05:00,24518.0,2026-03-03 09:51:00-05:00,24548.5,stop,-62.34,2026-03-03,normal
orb_retest,long,2026-03-03 11:50:00-05:00,24681.75,2026-03-03 12:01:00-05:00,24651.25,stop,-62.34,2026-03-03,normal
orb_retest,short,2026-03-03 09:51:00-05:00,24527.0,2026-03-03 09:51:00-05:00,24557.5,stop,-62.34,2026-03-03,normal
inverse_orb,long,2026-03-03 09:51:00-05:00,24528.0,2026-03-03 09:58:00-05:00,24497.5,stop,-62.34,2026-03-03,normal
inverse_orb,short,2026-03-03 12:02:00-05:00,24668.5,2026-03-03 12:25:00-05:00,24699.0,stop,-62.34,2026-03-03,normal
ema_continuation,long,2026-03-03 15:17:00-05:00,24751.5,2026-03-03 15:52:00-05:00,24721.0,stop,-62.34,2026-03-03,normal
ema_continuation,short,2026-03-03 11:22:00-05:00,24594.75,2026-03-03 11:23:00-05:00,24625.25,stop,-62.34,2026-03-03,normal
orb_break,long,2026-03-04 10:02:00-05:00,24955.0,2026-03-04 10:03:00-05:00,24924.5,stop,-62.34,2026-03-04,normal
orb_retest,long,2026-03-04 10:03:00-05:00,24902.0,2026-03-04 10:03:00-05:00,24961.5,target,117.66,2026-03-04,normal
inverse_orb,short,2026-03-04 10:03:00-05:00,24901.0,2026-03-04 10:03:00-05:00,24931.5,stop,-62.34,2026-03-04,normal
ema_continuation,long,2026-03-04 15:01:00-05:00,25188.0,2026-03-04 15:10:00-05:00,25157.5,stop,-62.34,2026-03-04,normal
orb_break,long,2026-03-05 09:52:00-05:00,25124.75,2026-03-05 09:59:00-05:00,25184.25,target,117.66,2026-03-05,normal
orb_break,short,2026-03-05 10:31:00-05:00,24939.0,2026-03-05 10:33:00-05:00,24969.5,stop,-62.34,2026-03-05,normal
orb_retest,long,2026-03-05 09:53:00-05:00,25128.25,2026-03-05 10:00:00-05:00,25187.75,target,117.66,2026-03-05,normal
orb_retest,short,2026-03-05 10:37:00-05:00,25010.75,2026-03-05 10:39:00-05:00,25041.25,stop,-62.34,2026-03-05,normal
