date,clean,quality,or_class,eligible,reason,or_high,or_low,or_size,breakout_ts,signal_ts,entry_ts,raw_entry,entry_price,stop_price,target_price,exit_ts,raw_exit,exit_price,exit_reason,net_pnl,vwap_at_signal,close_minus_vwap
2024-11-22,True,clean,normal,False,no_retest_signal,20857.0,20773.25,83.75,,,,,,,,,,,,,,
2024-11-25,True,clean,wide,False,or_class_wide,21081.25,20956.25,125.0,,,,,,,,,,,,,,
2024-11-26,True,clean,tight,False,or_class_tight,21003.0,20937.5,65.5,,,,,,,,,,,,,,
2024-11-27,True,clean,normal,False,no_upside_breakout,20939.75,20852.75,87.0,,,,,,,,,,,,,,
2024-11-29,True,clean,tight,False,or_class_tight,20875.5,20805.75,69.75,,,,,,,,,,,,,,
2024-12-02,True,clean,normal,True,,21139.5,21026.5,113.0,2024-12-02 09:49:00-05:00,2024-12-02 10:59:00-05:00,2024-12-02 11:00:00-05:00,21156.5,21159.0,21119.0,21209.0,2024-12-02 11:37:00-05:00,21209.0,21206.5,target,93.66,21150.62353097038,5.626469029619329
2024-12-03,True,clean,tight,False,or_class_tight,21203.25,21134.75,68.5,,,,,,,,,,,,,,
2024-12-04,True,clean,tight,False,or_class_tight,21437.0,21388.25,48.75,,,,,,,,,,,,,,
2024-12-05,True,clean,tight,False,or_class_tight,21552.0,21518.5,33.5,,,,,,,,,,,,,,
2024-12-06,True,clean,normal,False,no_retest_signal,21555.0,21485.0,70.0,,,,,,,,,,,,,,
2024-12-09,True,clean,tight,False,or_class_tight,21642.25,21582.75,59.5,,,,,,,,,,,,,,
2024-12-10,True,clean,normal,True,,21576.5,21505.25,71.25,2024-12-10 09:45:00-05:00,2024-12-10 10:04:00-05:00,2024-12-10 10:05:00-05:00,21577.75,21580.25,21540.25,21630.25,2024-12-10 10:50:00-05:00,21540.25,21537.75,stop,-86.34,21544.982457995342,32.517542004658026
2024-12-11,True,clean,normal,False,no_retest_signal,21639.5,21573.0,66.5,,,,,,,,,,,,,,
2024-12-12,True,clean,tight,False,or_class_tight,21696.5,21655.75,40.75,,,,,,,,,,,,,,
2024-12-13,True,clean,wide,False,or_class_wide,21895.0,21790.25,104.75,,,,,,,,,,,,,,
