filter,trades,pnl,avg,win_rate,pf,max_dd,is_avg,oos_avg,kept_bad_bucket,bad_bucket_pnl,win_rate_delta,pnl_delta,trade_loss,score
or_close_pos >= 0.5,64,1443.2399999999993,22.55062499999999,0.609375,1.6686309937456563,-597.0600000000002,21.26526315789473,24.429230769230767,11,-229.7400000000001,-0.0011513157894736947,-743.4599999999996,31,-0.5512192197615297
close_above_vwap == True,92,2085.7200000000003,22.670869565217394,0.6086956521739131,1.671029264149486,-503.3999999999992,27.278181818181825,15.822162162162154,17,-567.7800000000001,-0.0018306636155606126,-100.97999999999865,3,-0.3151381938293326
rth_ret_sig >= 0.1,89,1984.7399999999996,22.300449438202243,0.6067415730337079,1.6567854660974874,-417.0600000000003,28.169433962264147,13.659999999999993,16,-481.44000000000005,-0.003784742755765791,-201.95999999999935,6,-0.648807110811358
or_close_pos <= 0.8,61,1393.2599999999998,22.840327868852455,0.6065573770491803,1.6723708593930968,-345.3599999999997,38.660000000000004,0.060000000000001136,11,-589.7400000000001,-0.00396893874029336,-793.4399999999991,34,-0.8153118997210468
signal_rsi<=70 AND signal_ema_slope<=30,66,1450.5599999999995,21.97818181818181,0.6060606060606061,1.6461752285240816,-518.0400000000002,23.121538461538453,20.32666666666666,11,-409.7400000000001,-0.004465709728867617,-736.1399999999994,29,-1.0321817579906132
signal_vwap_delta >= 10,88,1891.0799999999992,21.489545454545446,0.6022727272727273,1.6257917204407815,-503.3999999999992,23.448461538461547,18.659999999999993,17,-567.7800000000001,-0.008253588516746402,-295.61999999999966,7,-1.3417508135586287
signal_vol_ratio >= 1.0,90,1949.3999999999994,21.659999999999993,0.6,1.6271716469770665,-510.72000000000025,23.66000000000001,18.659999999999993,17,-567.7800000000001,-0.010526315789473717,-237.2999999999995,5,-1.5250784536044804
signal_vwap_delta<=50 AND signal_ema_slope<=30,70,1465.2000000000003,20.931428571428576,0.6,1.6060756477712692,-518.0400000000002,23.874285714285712,16.517142857142854,9,-237.06000000000003,-0.010526315789473717,-721.4999999999986,25,-1.9034155924906084
signal_rsi >= 55,55,1140.3000000000002,20.732727272727278,0.6,1.600322193442416,-259.02000000000004,26.659999999999997,11.841818181818178,10,-323.4000000000001,-0.010526315789473717,-1046.3999999999987,40,-2.1020529940050037
or_green == False,32,657.1199999999999,20.534999999999997,0.59375,1.5854492970545786,-345.3600000000001,36.8178947368421,-3.2630769230769285,6,-518.0400000000001,-0.016776315789473695,-1529.579999999999,63,-3.051190203216917
signal_minute <= 640,86,1703.7599999999998,19.811162790697672,0.5930232558139535,1.5638042291273695,-510.71999999999935,29.130588235294123,6.231428571428568,14,-668.7600000000002,-0.017503059975520152,-482.93999999999915,9,-2.7644736823878406
