rule_id,trades,pnl_1,pnl_3,pnl_5,pf_1,pf_1_5,pf_3,pf_5,oos_avg_3,oos_avg_5,pass_1,pass_1_5,pass_3,pass_5,max_drawdown_5
or_retest_slip_filter|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,183,4715.779999999997,3855.779999999998,3396.279999999998,1.584408599485458,1.5691793375969407,1.4571709746265116,1.3933611304146394,19.180270270270267,16.02486486486486,True,True,False,False,-834.1200000000006
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,183,4715.779999999997,3855.779999999998,3396.279999999998,1.584408599485458,1.5691793375969407,1.4571709746265116,1.3933611304146394,19.180270270270267,16.02486486486486,True,True,False,False,-834.1200000000006
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,168,4905.38,4527.38,3849.379999999999,1.5204636170533323,1.5082531123488194,1.4722405919670554,1.3897964226114288,15.52764705882352,13.26294117647058,False,False,False,False,-947.7799999999987
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=10,143,3974.3799999999983,3400.379999999999,3087.379999999999,1.5271354637791492,1.4715599096488101,1.436398217640838,1.3897262279851346,7.1427586206896505,4.849655172413788,False,False,False,False,-897.5400000000045
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,168,4638.379999999999,4012.3799999999987,3543.379999999999,1.5262920216218177,1.5139775762259187,1.4414224514448284,1.3833308451414266,21.75558823529412,19.66735294117647,True,True,False,False,-740.7199999999999
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=10,126,4464.659999999998,3804.6599999999985,3101.159999999998,1.5790664193719923,1.566839271187097,1.4773462945583928,1.3765929387306033,-4.153725490196089,-7.359607843137265,False,False,False,False,-1252.2600000000057
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=10:45|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=10,183,5503.279999999998,4577.279999999998,3808.279999999999,1.583901148220375,1.57120792095944,1.4653740964039164,1.3760135228533852,20.85594594594594,18.77486486486486,True,True,False,False,-800.5800000000017
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2.5|start=10:00|stop_mode=fixed|stop_points=40|target_mode=rr|time_exit=15:55|touch_tolerance=5,183,4701.779999999997,3839.7799999999984,3431.779999999999,1.5419269620702527,1.5270930656139952,1.4278601975846794,1.3734100222188852,8.389729729729723,6.0924324324324255,False,False,False,False,-1115.440000000006
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:30|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.25|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,195,5193.199999999997,4507.199999999998,3969.199999999998,1.506584466511891,1.4942938451228158,1.4270713510092157,1.3697872316638935,27.615128205128205,25.39717948717949,True,False,False,False,-1050.4600000000005
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=12:00|touch_tolerance=10,196,5059.359999999999,4479.859999999999,3294.8599999999988,1.6110913830046791,1.587952304704473,1.5277215616334434,1.363821268382312,15.381518987341762,12.622025316455685,False,False,False,False,-1130.6200000000003
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:30|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=12:00|touch_tolerance=5,195,4664.199999999999,4080.699999999999,3125.6999999999994,1.5728764929277843,1.549402542124685,1.4882738650776555,1.3548061205957136,16.29461538461538,13.474102564102559,True,True,False,False,-1256.9600000000003
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:00|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=2|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=10,143,4759.879999999999,4053.8799999999997,3304.379999999999,1.5420559470502757,1.52985206617567,1.4473740550681453,1.3535669345933592,1.1858620689655133,-2.0124137931034523,False,False,False,False,-974.6200000000063
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:30|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:00|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,195,5215.199999999997,4775.199999999999,4035.199999999998,1.4695087587258662,1.4576282429377418,1.4225922982571344,1.3473195319036126,16.711282051282048,14.429230769230761,False,False,False,False,-1326.8000000000004
or_retest_slip_shape|long|buffer_points=0|confirm_pattern=break_prev|end=11:30|max_risk_points=120|max_stop=120|min_reward_points=8|or_class=normal_tight|rr=1.5|start=10:20|stop_mode=fixed|stop_points=60|target_mode=rr|time_exit=15:55|touch_tolerance=5,151,3795.659999999999,3455.659999999999,3115.6599999999994,1.4331471713960318,1.4216668674246984,1.387797975082426,1.3439305528878525,2.446885245901637,0.18459016393442376,False,False,False,False,-710.7200000000003
